<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
MOEX,60,20210111,110000,160.1500000,161.1900000,159.3500000,159.9300000,1149790
MOEX,60,20210111,120000,159.9300000,160.7900000,159.7700000,159.9500000,1251560
MOEX,60,20210111,130000,159.9500000,160.1300000,159.5600000,159.8000000,999350
MOEX,60,20210111,140000,159.7900000,160.1500000,159.7000000,159.8800000,518710
MOEX,60,20210111,150000,159.9000000,160.0200000,159.1500000,159.2600000,1164000
MOEX,60,20210111,160000,159.2700000,159.4500000,159.0800000,159.3800000,706130
MOEX,60,20210111,170000,159.3800000,159.3800000,158.5100000,158.8000000,1530640
MOEX,60,20210111,180000,158.8000000,159.5400000,158.7800000,159.4800000,700190
MOEX,60,20210111,190000,159.4800000,159.7700000,159.2900000,159.6500000,737690
MOEX,60,20210111,200000,159.6500000,159.6500000,159.2400000,159.5100000,66870
MOEX,60,20210111,210000,159.5100000,159.5900000,159.4400000,159.4400000,62840
MOEX,60,20210111,220000,159.4700000,159.6000000,159.4000000,159.5800000,51650
MOEX,60,20210111,230000,159.5600000,159.6000000,159.3000000,159.4900000,106190
MOEX,60,20210112,000000,159.4500000,159.5500000,159.3900000,159.4900000,57760
MOEX,60,20210112,110000,159.7600000,160.0000000,159.2000000,159.7100000,1250010
MOEX,60,20210112,120000,159.7100000,159.7100000,159.0300000,159.2000000,676290
MOEX,60,20210112,130000,159.2300000,159.5800000,158.6000000,158.7000000,1366650
MOEX,60,20210112,140000,158.7000000,158.9500000,158.6000000,158.8800000,355660
MOEX,60,20210112,150000,158.8800000,158.9000000,158.1000000,158.2900000,794890
MOEX,60,20210112,160000,158.2900000,158.6100000,158.0500000,158.3500000,701470
MOEX,60,20210112,170000,158.3500000,158.7300000,158.1900000,158.3300000,495580
MOEX,60,20210112,180000,158.3200000,158.6100000,157.9000000,157.9500000,1417780
MOEX,60,20210112,190000,157.9500000,158.1500000,157.5400000,157.7000000,967730
MOEX,60,20210112,200000,158.3300000,158.3900000,157.8800000,158.3300000,91390
MOEX,60,20210112,210000,158.3000000,158.3800000,158.0000000,158.1500000,60900
MOEX,60,20210112,220000,158.1200000,158.1500000,158.0300000,158.1500000,77280
MOEX,60,20210112,230000,158.1500000,158.3500000,158.1000000,158.3000000,62360
MOEX,60,20210113,000000,158.3000000,158.5800000,158.2900000,158.5000000,105750
MOEX,60,20210113,110000,158.5000000,160.3400000,158.5000000,158.8400000,2666240
MOEX,60,20210113,120000,158.7800000,159.8100000,158.3000000,159.1600000,1557050
